Section,Key,Value
Ordering and Spec Information,,
"Intel® Wi-Fi 7 BE202, 2230, 2x2 BE+BT, No vPro",Ordering Code,BE202.NGWG.NV
"Intel® Wi-Fi 7 BE202, 2230, 2x2 BE+BT, No vPro",MDDS Content IDs,788614
"Intel® Wi-Fi 7 BE202, 2230, 2x2 BE+BT, No vPro",PCN Content IDs,827501
"Intel® Wi-Fi 7 BE202, 1216, 2x2 BE+BT, No vPro",Ordering Code,BE202.D2WG.NV
"Intel® Wi-Fi 7 BE202, 1216, 2x2 BE+BT, No vPro",MDDS Content IDs,788615
"Intel® Wi-Fi 7 BE202, 1216, 2x2 BE+BT, No vPro",PCN Content IDs,827510
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8517620090
