Section,Key,Value
Ordering and Spec Information,,
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, vPro®, Industrial, Extended temp",Ordering Code,9260.NGWGII
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, vPro®, Industrial, Extended temp",MDDS Content IDs,706736
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, vPro®, Industrial, Extended temp",PCN Content IDs,"801502,797056,844680,798000,818989,838445"
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, vPro®, Industrial, Extended temp",Recommended Customer Price,$21.00
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, No vPro®, Industrial, Extended temp",Ordering Code,9260.NGWGII.NV
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, No vPro®, Industrial, Extended temp",MDDS Content IDs,706736
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, No vPro®, Industrial, Extended temp",PCN Content IDs,"797056,844680,798000,801502,818989,838445"
"Intel® Wireless-AC 9260, 2230, 2x2 AC+BT, Gigabit, No vPro®, Industrial, Extended temp",Recommended Customer Price,$16.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G165483
Trade Compliance Information,US HTS,8517620090
