Section,Key,Value
Ordering and Spec Information,,
Intel® GL82X299 Platform Controller Hub,Ordering Code,GL82X299
Intel® GL82X299 Platform Controller Hub,Spec Code,SR2Z2
Intel® GL82X299 Platform Controller Hub,Shipping Media,T&R
Intel® GL82X299 Platform Controller Hub,Stepping,A0
Intel® GL82X299 Platform Controller Hub,MDDS Content IDs,708546
Intel® GL82X299 Platform Controller Hub,PCN Content IDs,"795943,800441,806826,809472"
Intel® GL82X299 Platform Controller Hub,Recommended Customer Price,$81.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310030
