Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® D-1702 Processor (5M Cache, up to 1.70 GHz) FC-BGA16B, Tray",Ordering Code,FH8068604437205
"Intel® Xeon® D-1702 Processor (5M Cache, up to 1.70 GHz) FC-BGA16B, Tray",Spec Code,SRM1N
"Intel® Xeon® D-1702 Processor (5M Cache, up to 1.70 GHz) FC-BGA16B, Tray",Shipping Media,TRAY
"Intel® Xeon® D-1702 Processor (5M Cache, up to 1.70 GHz) FC-BGA16B, Tray",Stepping,Z2
"Intel® Xeon® D-1702 Processor (5M Cache, up to 1.70 GHz) FC-BGA16B, Tray",MDDS Content IDs,"798714,804045"
"Intel® Xeon® D-1702 Processor (5M Cache, up to 1.70 GHz) FC-BGA16B, Tray",PCN Content IDs,"798714,804045"
"Intel® Xeon® D-1702 Processor (5M Cache, up to 1.70 GHz) FC-BGA16B, Tray",Recommended Customer Price,$124.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G188783
Trade Compliance Information,US HTS,8542310050
