Section,Key,Value
Essentials,Product Collection,Intel® Xeon® D Processor
Essentials,Code Name,Products formerly Ice Lake
Essentials,Vertical Segment,Server
Essentials,Processor Number,D-1749NT
Essentials,Lithography,10 nm
Essentials,Recommended Customer Price,$1258.00
CPU Specifications,Total Cores,10
CPU Specifications,# of Performance-cores,10
CPU Specifications,Total Threads,20
CPU Specifications,Max Turbo Frequency,3.50 GHz
CPU Specifications,Processor Base Frequency,3.00 GHz
CPU Specifications,Cache,15 MB
CPU Specifications,Max # of UPI Links,0
CPU Specifications,TDP,90 W
CPU Specifications,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q1'22
Supplemental Information,Embedded Options Available,No
Supplemental Information,Use Conditions,"Automotive, Base Transceiver Station, Communications Commercial Temp, Embedded Broad Market Commercial Temp, Industrial Commercial Temp, Server/Enterprise"
Supplemental Information,Product Brief,View now
Memory Specifications,Max Memory Size (dependent on memory type),256 GB
Memory Specifications,Memory Types,DDR4
Memory Specifications,Maximum Memory Speed,2667 MHz
Memory Specifications,Max # of Memory Channels,2
Memory Specifications,Intel® Optane™ Persistent Memory Supported,No
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Scalability,1S Only
Expansion Options,PCI Express Revision,4.0
Expansion Options,Microprocessor PCIe Revision,Gen 4
Expansion Options,Chipset / PCH PCIe Revision,Gen 3
Expansion Options,Max # of PCI Express Lanes,16
I/O Specifications,# of USB Ports,4
I/O Specifications,USB Revision,3.0
I/O Specifications,Integrated LAN,Yes
I/O Specifications,Max # of SATA 6.0 Gb/s Ports,24
Package Specifications,Sockets Supported,FCBGA2227
Package Specifications,Package Size,45mm x 45mm
Advanced Technologies,Intel® Resource Director Technology (Intel® RDT),Yes
Advanced Technologies,Intel® Optane™ Memory Supported‡,No
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,Intel® AVX-512
Advanced Technologies,# of AVX-512 FMA Units,1
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Thermal Monitoring Technologies,Yes
Advanced Technologies,Integrated Intel® QuickAssist Technology,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel® QuickAssist Software Acceleration,Yes
Security & Reliability,Intel® Total Memory Encryption,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Software Guard Extensions (Intel® SGX),Yes with Intel® SPS
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Boot Guard,Yes
Security & Reliability,Intel® Platform Firmware Resilience Support,Yes
Security & Reliability,Default Maximum Enclave Page Cache (EPC) Size for Intel® SGX,64 GB
Security & Reliability,Intel® Crypto Acceleration,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
