Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz) FC-BGA14B, Tray",Ordering Code,FH8067303782501
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz) FC-BGA14B, Tray",Spec Code,SR3ZQ
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz) FC-BGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz) FC-BGA14B, Tray",Stepping,M1
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz) FC-BGA14B, Tray",MDDS Content IDs,709003
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz) FC-BGA14B, Tray",PCN Content IDs,"795943,813833,812098,846911"
"Intel® Xeon® D-2183IT Processor (22M Cache, 2.20 GHz) FC-BGA14B, Tray",Recommended Customer Price,$2020.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
