Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz) FC-BGA16B, Tray",Ordering Code,FH8068604676155
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz) FC-BGA16B, Tray",Spec Code,SRM1T
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz) FC-BGA16B, Tray",Shipping Media,TRAY
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz) FC-BGA16B, Tray",Stepping,U2
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz) FC-BGA16B, Tray",MDDS Content IDs,"727272,764840"
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz) FC-BGA16B, Tray",PCN Content IDs,"804045,798714"
"Intel® Xeon® D-2777NX Processor (25M Cache, up to 3.30 GHz) FC-BGA16B, Tray",Recommended Customer Price,$2101.00
Trade Compliance Information,ECCN,5A002R
Trade Compliance Information,CCATS,G177233
Trade Compliance Information,US HTS,8542310050
