Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® E-2286M Processor (16M Cache, 2.40 GHz) FC-BGA14F, Tray",Ordering Code,CL8068404068710
"Intel® Xeon® E-2286M Processor (16M Cache, 2.40 GHz) FC-BGA14F, Tray",Spec Code,SRFCZ
"Intel® Xeon® E-2286M Processor (16M Cache, 2.40 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Xeon® E-2286M Processor (16M Cache, 2.40 GHz) FC-BGA14F, Tray",Stepping,R0
"Intel® Xeon® E-2286M Processor (16M Cache, 2.40 GHz) FC-BGA14F, Tray",MDDS Content IDs,707105
"Intel® Xeon® E-2286M Processor (16M Cache, 2.40 GHz) FC-BGA14F, Tray",PCN Content IDs,"803637,809472"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
