Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® E-2486 Processor (18M Cache, 3.50 GHz) FC-LGA16A, Tray",Ordering Code,CM8071505024814
"Intel® Xeon® E-2486 Processor (18M Cache, 3.50 GHz) FC-LGA16A, Tray",Spec Code,SRMX9
"Intel® Xeon® E-2486 Processor (18M Cache, 3.50 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® E-2486 Processor (18M Cache, 3.50 GHz) FC-LGA16A, Tray",Stepping,B0
"Intel® Xeon® E-2486 Processor (18M Cache, 3.50 GHz) FC-LGA16A, Tray",MDDS Content IDs,814435
"Intel® Xeon® E-2486 Processor (18M Cache, 3.50 GHz) FC-LGA16A, Tray",Recommended Customer Price,$506.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
