Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Ordering Code,CD8067303535601
"Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Spec Code,SR3GB
"Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Stepping,M0
"Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz) FC-LGA14B, Tray",MDDS Content IDs,708826
"Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz) FC-LGA14B, Tray",PCN Content IDs,"798714,796108,813833,799685,800106,812098"
"Intel® Xeon® Gold 5115 Processor (13.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Recommended Customer Price,$1221.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
