Section,Key,Value
Essentials,Product Collection,Intel® Xeon® Scalable Processors
Essentials,Code Name,Products formerly Skylake
Essentials,Vertical Segment,Server
Essentials,Processor Number,5120
Essentials,Lithography,14 nm
Essentials,Recommended Customer Price,$1555.00-$1561.00
CPU Specifications,Total Cores,14
CPU Specifications,Total Threads,28
CPU Specifications,Max Turbo Frequency,3.20 GHz
CPU Specifications,Processor Base Frequency,2.20 GHz
CPU Specifications,Cache,19.25 MB L3 Cache
CPU Specifications,Max # of UPI Links,2
CPU Specifications,TDP,105 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q3'17
Supplemental Information,Servicing Status,End of Servicing Updates
Supplemental Information,End of Servicing Updates Date,"Sunday, December 31, 2023"
Supplemental Information,End of Interactive Support Date,"Sunday, December 31, 2023"
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),768 GB
Memory Specifications,Memory Types,DDR4-2400
Memory Specifications,Maximum Memory Speed,2400 MHz
Memory Specifications,Max # of Memory Channels,6
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Scalability,4S
Expansion Options,PCI Express Revision,3.0
Expansion Options,Max # of PCI Express Lanes,48
Package Specifications,Sockets Supported,FCLGA3647
Package Specifications,TCASE,81°C
Package Specifications,Package Size,76.0mm x 56.5mm
Advanced Technologies,Intel® Optane™ Memory Supported‡,No
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Max Technology 3.0‡,No
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512"
Advanced Technologies,# of AVX-512 FMA Units,1
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel vPro® Eligibility‡,Intel vPro® Platform
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Run Sure Technology,Yes
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
