Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305120301
"Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A, Tray",Spec Code,SRMGH
"Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A, Tray",Stepping,S3
"Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A, Tray",MDDS Content IDs,798714
"Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A, Tray",PCN Content IDs,798714
"Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A, Tray",Recommended Customer Price,$1483.00
"Boxed Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A",Ordering Code,BX807135418Y
"Boxed Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A",Spec Code,SRMGH
"Boxed Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A",Shipping Media,BOX
"Boxed Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A",Stepping,S3
"Boxed Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A",MDDS Content IDs,848606
"Boxed Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A",PCN Content IDs,"815134,798811,853587"
"Boxed Intel® Xeon® Gold 5418Y Processor (45M Cache, 2.00 GHz) FC-LGA16A",Recommended Customer Price,$1493.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
