Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N, Tray",Ordering Code,PK8072205559300
"Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N, Tray",Spec Code,SRN6L
"Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N, Tray",Stepping,R1
"Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N, Tray",Recommended Customer Price,$1640.00
"Boxed Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N",Ordering Code,BX807225520
"Boxed Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N",Spec Code,SRN6L
"Boxed Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N",Shipping Media,BOX
"Boxed Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N",Stepping,R1
"Boxed Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N",MDDS Content IDs,849926
"Boxed Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N",PCN Content IDs,853587
"Boxed Intel® Xeon® Gold 5520+ Processor (52.5M Cache, 2.20 GHz) FC-LGA16N",Recommended Customer Price,$1650.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
