Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz) FC-LGA14B, Tray",Ordering Code,CD8067303593800
"Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz) FC-LGA14B, Tray",Spec Code,SR3KJ
"Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz) FC-LGA14B, Tray",Stepping,H0
"Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz) FC-LGA14B, Tray",MDDS Content IDs,"798714,799685,811239,812098,813833"
"Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz) FC-LGA14B, Tray",PCN Content IDs,"812098,798714,813833,799685,811239"
"Intel® Xeon® Gold 6148F Processor (27.5M Cache, 2.40 GHz) FC-LGA14B, Tray",Recommended Customer Price,$3227.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
