Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6242R Processor (35.75M Cache, 3.10 GHz) FC-LGA14B, Tray",Ordering Code,CD8069504449601
"Intel® Xeon® Gold 6242R Processor (35.75M Cache, 3.10 GHz) FC-LGA14B, Tray",Spec Code,SRGZJ
"Intel® Xeon® Gold 6242R Processor (35.75M Cache, 3.10 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6242R Processor (35.75M Cache, 3.10 GHz) FC-LGA14B, Tray",Stepping,B1
"Intel® Xeon® Gold 6242R Processor (35.75M Cache, 3.10 GHz) FC-LGA14B, Tray",MDDS Content IDs,708282
"Intel® Xeon® Gold 6242R Processor (35.75M Cache, 3.10 GHz) FC-LGA14B, Tray",PCN Content IDs,"800106,798714,810308,802960,809472,815070"
"Intel® Xeon® Gold 6242R Processor (35.75M Cache, 3.10 GHz) FC-LGA14B, Tray",Recommended Customer Price,$2977.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
