Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6250L Processor (35.75M Cache, 3.90 GHz) FC-LGA14B, Tray",Ordering Code,CD8069504497400
"Intel® Xeon® Gold 6250L Processor (35.75M Cache, 3.90 GHz) FC-LGA14B, Tray",Spec Code,SRH5D
"Intel® Xeon® Gold 6250L Processor (35.75M Cache, 3.90 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6250L Processor (35.75M Cache, 3.90 GHz) FC-LGA14B, Tray",Stepping,B1
"Intel® Xeon® Gold 6250L Processor (35.75M Cache, 3.90 GHz) FC-LGA14B, Tray",MDDS Content IDs,706743
"Intel® Xeon® Gold 6250L Processor (35.75M Cache, 3.90 GHz) FC-LGA14B, Tray",PCN Content IDs,"798714,800106,809472,815070"
"Intel® Xeon® Gold 6250L Processor (35.75M Cache, 3.90 GHz) FC-LGA14B, Tray",Recommended Customer Price,$7331.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
