Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305451100
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz) FC-LGA16A, Tray",Spec Code,SRN2B
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz) FC-LGA16A, Tray",Stepping,L0
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz) FC-LGA16A, Tray",PCN Content IDs,813836
"Intel® Xeon® Gold 6433N Processor (60M Cache, 2.00 GHz) FC-LGA16A, Tray",Recommended Customer Price,$2771.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,740.17B1
Trade Compliance Information,US HTS,8542310050
