Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305122301
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz) FC-LGA16A, Tray",Spec Code,SRMH3
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz) FC-LGA16A, Tray",Stepping,S3
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz) FC-LGA16A, Tray",MDDS Content IDs,798714
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz) FC-LGA16A, Tray",PCN Content IDs,"842299,798714"
"Intel® Xeon® Gold 6438M Processor (60M Cache, 2.20 GHz) FC-LGA16A, Tray",Recommended Customer Price,$3273.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
