Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305121300
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz) FC-LGA16A, Tray",Spec Code,SRMGW
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz) FC-LGA16A, Tray",Stepping,S3
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz) FC-LGA16A, Tray",MDDS Content IDs,798714
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz) FC-LGA16A, Tray",PCN Content IDs,798714
"Intel® Xeon® Gold 6448H Processor (60M Cache, 2.40 GHz) FC-LGA16A, Tray",Recommended Customer Price,$3658.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
