Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Platinum 8260L Processor (35.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Ordering Code,CD8069504201001
"Intel® Xeon® Platinum 8260L Processor (35.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Spec Code,SRF9G
"Intel® Xeon® Platinum 8260L Processor (35.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Platinum 8260L Processor (35.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Stepping,B1
"Intel® Xeon® Platinum 8260L Processor (35.75M Cache, 2.40 GHz) FC-LGA14B, Tray",MDDS Content IDs,706759
"Intel® Xeon® Platinum 8260L Processor (35.75M Cache, 2.40 GHz) FC-LGA14B, Tray",PCN Content IDs,"802960,798714,810308,800106,800453,809472,815070"
"Intel® Xeon® Platinum 8260L Processor (35.75M Cache, 2.40 GHz) FC-LGA14B, Tray",Recommended Customer Price,$8821.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
