Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Platinum 8270 Processor (35.75M Cache, 2.70 GHz) FC-LGA14B, Tray",Ordering Code,CD8069504195201
"Intel® Xeon® Platinum 8270 Processor (35.75M Cache, 2.70 GHz) FC-LGA14B, Tray",Spec Code,SRF96
"Intel® Xeon® Platinum 8270 Processor (35.75M Cache, 2.70 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Platinum 8270 Processor (35.75M Cache, 2.70 GHz) FC-LGA14B, Tray",Stepping,B1
"Intel® Xeon® Platinum 8270 Processor (35.75M Cache, 2.70 GHz) FC-LGA14B, Tray",MDDS Content IDs,706759
"Intel® Xeon® Platinum 8270 Processor (35.75M Cache, 2.70 GHz) FC-LGA14B, Tray",PCN Content IDs,"800106,800453,810308,802960,809472,815070"
"Intel® Xeon® Platinum 8270 Processor (35.75M Cache, 2.70 GHz) FC-LGA14B, Tray",Recommended Customer Price,$8477.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
