Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Processor D-1524N (6M Cache, 2.00 GHz) FC-BGA14C, Tray",Ordering Code,GG8068204204901
"Intel® Xeon® Processor D-1524N (6M Cache, 2.00 GHz) FC-BGA14C, Tray",Spec Code,SREVD
"Intel® Xeon® Processor D-1524N (6M Cache, 2.00 GHz) FC-BGA14C, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor D-1524N (6M Cache, 2.00 GHz) FC-BGA14C, Tray",Stepping,A1
"Intel® Xeon® Processor D-1524N (6M Cache, 2.00 GHz) FC-BGA14C, Tray",MDDS Content IDs,809472
"Intel® Xeon® Processor D-1524N (6M Cache, 2.00 GHz) FC-BGA14C, Tray",PCN Content IDs,809472
"Intel® Xeon® Processor D-1524N (6M Cache, 2.00 GHz) FC-BGA14C, Tray",Recommended Customer Price,$305.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G186091
Trade Compliance Information,US HTS,8542310050
