Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E3-1105C v2 (8M Cache, 1.80 GHz) FC-BGA12F, Tray",Ordering Code,CN8063801194002
"Intel® Xeon® Processor E3-1105C v2 (8M Cache, 1.80 GHz) FC-BGA12F, Tray",Spec Code,SR1J1
"Intel® Xeon® Processor E3-1105C v2 (8M Cache, 1.80 GHz) FC-BGA12F, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E3-1105C v2 (8M Cache, 1.80 GHz) FC-BGA12F, Tray",Stepping,E1
"Intel® Xeon® Processor E3-1105C v2 (8M Cache, 1.80 GHz) FC-BGA12F, Tray",MDDS Content IDs,708796
"Intel® Xeon® Processor E3-1105C v2 (8M Cache, 1.80 GHz) FC-BGA12F, Tray",PCN Content IDs,"795943,804340,799624,805104,802395,809472,803212,813833,809553,813820"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
