Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E3-1125C (8M Cache, 2.00 GHz) FC-BGA10, Tray",Ordering Code,AV8062701146600
"Intel® Xeon® Processor E3-1125C (8M Cache, 2.00 GHz) FC-BGA10, Tray",Spec Code,SR0NU
"Intel® Xeon® Processor E3-1125C (8M Cache, 2.00 GHz) FC-BGA10, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E3-1125C (8M Cache, 2.00 GHz) FC-BGA10, Tray",Stepping,D2
"Intel® Xeon® Processor E3-1125C (8M Cache, 2.00 GHz) FC-BGA10, Tray",MDDS Content IDs,707319
"Intel® Xeon® Processor E3-1125C (8M Cache, 2.00 GHz) FC-BGA10, Tray",PCN Content IDs,"795943,799624,805104,802395,811486,803212,813824,804340,805021,813819"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
