Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E3-1535M (8M Cache, 3.10 GHz) FC-BGA14F, Tray",Ordering Code,CL8067702869614
"Intel® Xeon® Processor E3-1535M (8M Cache, 3.10 GHz) FC-BGA14F, Tray",Spec Code,SR32H
"Intel® Xeon® Processor E3-1535M (8M Cache, 3.10 GHz) FC-BGA14F, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E3-1535M (8M Cache, 3.10 GHz) FC-BGA14F, Tray",Stepping,B0
"Intel® Xeon® Processor E3-1535M (8M Cache, 3.10 GHz) FC-BGA14F, Tray",MDDS Content IDs,709082
"Intel® Xeon® Processor E3-1535M (8M Cache, 3.10 GHz) FC-BGA14F, Tray",PCN Content IDs,"795943,799685,799624,809472,808650"
"Intel® Xeon® Processor E3-1535M (8M Cache, 3.10 GHz) FC-BGA14F, Tray",Recommended Customer Price,$623.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
