Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E5-1630 v3 (10M Cache, 3.70 GHz) FC-LGA12A, Tray",Ordering Code,CM8064401614501
"Intel® Xeon® Processor E5-1630 v3 (10M Cache, 3.70 GHz) FC-LGA12A, Tray",Spec Code,SR20L
"Intel® Xeon® Processor E5-1630 v3 (10M Cache, 3.70 GHz) FC-LGA12A, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E5-1630 v3 (10M Cache, 3.70 GHz) FC-LGA12A, Tray",Stepping,R2
"Intel® Xeon® Processor E5-1630 v3 (10M Cache, 3.70 GHz) FC-LGA12A, Tray",MDDS Content IDs,708347
"Intel® Xeon® Processor E5-1630 v3 (10M Cache, 3.70 GHz) FC-LGA12A, Tray",PCN Content IDs,"799624,798818,799685,799686,802525,802395,809021,809095,809472"
"Intel® Xeon® Processor E5-1630 v3 (10M Cache, 3.70 GHz) FC-LGA12A, Tray",Recommended Customer Price,$372.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
