Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E5-1650 (12M Cache, 3.20 GHz) FC-LGA10, Tray",Ordering Code,CM8062101102002
"Intel® Xeon® Processor E5-1650 (12M Cache, 3.20 GHz) FC-LGA10, Tray",Spec Code,SR0KZ
"Intel® Xeon® Processor E5-1650 (12M Cache, 3.20 GHz) FC-LGA10, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E5-1650 (12M Cache, 3.20 GHz) FC-LGA10, Tray",Stepping,C2
"Intel® Xeon® Processor E5-1650 (12M Cache, 3.20 GHz) FC-LGA10, Tray",MDDS Content IDs,708882
"Intel® Xeon® Processor E5-1650 (12M Cache, 3.20 GHz) FC-LGA10, Tray",PCN Content IDs,"799624,796226,799686,799685,802395,802525,802624,809021,805021,813819,810640,813824"
"Intel® Xeon® Processor E5-1650 (12M Cache, 3.20 GHz) FC-LGA10, Tray",Recommended Customer Price,$583.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
