Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E5-2428L (15M Cache, 1.80 GHz) FC-LGA10, Tray",Ordering Code,CM8062007187509
"Intel® Xeon® Processor E5-2428L (15M Cache, 1.80 GHz) FC-LGA10, Tray",Spec Code,SR0M3
"Intel® Xeon® Processor E5-2428L (15M Cache, 1.80 GHz) FC-LGA10, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E5-2428L (15M Cache, 1.80 GHz) FC-LGA10, Tray",Stepping,C2
"Intel® Xeon® Processor E5-2428L (15M Cache, 1.80 GHz) FC-LGA10, Tray",MDDS Content IDs,706647
"Intel® Xeon® Processor E5-2428L (15M Cache, 1.80 GHz) FC-LGA10, Tray",PCN Content IDs,"798680,796764,799624,802395,799686,811486,805021,805104,810640,813819,813824"
"Intel® Xeon® Processor E5-2428L (15M Cache, 1.80 GHz) FC-LGA10, Tray",Recommended Customer Price,$692.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
