Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E5-2650L v3 (30M Cache, 1.80 GHz) FC-LGA12A, Tray",Ordering Code,CM8064401575702
"Intel® Xeon® Processor E5-2650L v3 (30M Cache, 1.80 GHz) FC-LGA12A, Tray",Spec Code,SR1Y1
"Intel® Xeon® Processor E5-2650L v3 (30M Cache, 1.80 GHz) FC-LGA12A, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E5-2650L v3 (30M Cache, 1.80 GHz) FC-LGA12A, Tray",Stepping,M1
"Intel® Xeon® Processor E5-2650L v3 (30M Cache, 1.80 GHz) FC-LGA12A, Tray",MDDS Content IDs,706495
"Intel® Xeon® Processor E5-2650L v3 (30M Cache, 1.80 GHz) FC-LGA12A, Tray",PCN Content IDs,"799624,798818,799685,799686,809095,802395,802525,809021,809472"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
