Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz) FC-LGA12A, Tray",Ordering Code,CM8064402331600
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz) FC-LGA12A, Tray",Spec Code,SR27T
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz) FC-LGA12A, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz) FC-LGA12A, Tray",Stepping,M1
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz) FC-LGA12A, Tray",MDDS Content IDs,707678
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz) FC-LGA12A, Tray",PCN Content IDs,"798818,799624,799686,799685,802525,802800,809472,809021,813833"
"Intel® Xeon® Processor E5-2658A v3 (30M Cache, 2.20 GHz) FC-LGA12A, Tray",Recommended Customer Price,$1832.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
