Section,Key,Value
Retired and discontinued,,
"Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A, Tray",Ordering Code,CM8064401613502
"Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A, Tray",Spec Code,SR1Y6
"Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A, Tray",Stepping,M1
"Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A, Tray",MDDS Content IDs,706486
"Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A, Tray",PCN Content IDs,"799624,798818,799685,799686,802395,802525,809095,809021,809472"
"Boxed Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A",Ordering Code,BX80644E52687V3
"Boxed Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A",Spec Code,SR1Y6
"Boxed Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A",Shipping Media,BOX
"Boxed Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A",Stepping,M1
"Boxed Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A",MDDS Content IDs,707918
"Boxed Intel® Xeon® Processor E5-2687W v3 (25M Cache, 3.10 GHz) FC-LGA12A",PCN Content IDs,"806717,798816,809095,808891,809439"
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
