Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Processor E5-2699R v4 (55M Cache, 2.20 GHz) FC-LGA14A, Tray",Ordering Code,CM8066003216500
"Intel® Xeon® Processor E5-2699R v4 (55M Cache, 2.20 GHz) FC-LGA14A, Tray",Spec Code,SR31X
"Intel® Xeon® Processor E5-2699R v4 (55M Cache, 2.20 GHz) FC-LGA14A, Tray",Shipping Media,TRAY
"Intel® Xeon® Processor E5-2699R v4 (55M Cache, 2.20 GHz) FC-LGA14A, Tray",Stepping,B0
"Intel® Xeon® Processor E5-2699R v4 (55M Cache, 2.20 GHz) FC-LGA14A, Tray",MDDS Content IDs,708667
"Intel® Xeon® Processor E5-2699R v4 (55M Cache, 2.20 GHz) FC-LGA14A, Tray",PCN Content IDs,"800898,799685,807464,809472,812098,809759,813833"
"Intel® Xeon® Processor E5-2699R v4 (55M Cache, 2.20 GHz) FC-LGA14A, Tray",Recommended Customer Price,$4560.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
