Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz) FC-LGA14B, Tray",Ordering Code,CD8067303645300
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz) FC-LGA14B, Tray",Spec Code,SR3MM
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz) FC-LGA14B, Tray",Stepping,U0
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz) FC-LGA14B, Tray",MDDS Content IDs,708977
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz) FC-LGA14B, Tray",PCN Content IDs,"799685,798714,800106,810192,812098,813833,847599"
"Intel® Xeon® Silver 4114T Processor (13.75M Cache, 2.20 GHz) FC-LGA14B, Tray",Recommended Customer Price,$773.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
