Section,Key,Value
Essentials,Product Collection,2nd Gen Intel® Xeon® Scalable Processors
Essentials,Code Name,Products formerly Cascade Lake
Essentials,Vertical Segment,Server
Essentials,Processor Number,4208
Essentials,Lithography,14 nm
Essentials,Recommended Customer Price,$468.00-$481.00
CPU Specifications,Total Cores,8
CPU Specifications,Total Threads,16
CPU Specifications,Max Turbo Frequency,3.20 GHz
CPU Specifications,Processor Base Frequency,2.10 GHz
CPU Specifications,Cache,11 MB
CPU Specifications,Max # of UPI Links,2
CPU Specifications,TDP,85 W
Supplemental Information,Marketing Status,Discontinued
Supplemental Information,Launch Date,Q2'19
Supplemental Information,Servicing Status,ESU Notification Issued
Supplemental Information,End of Servicing Updates Date,"Monday, June 30, 2025"
Supplemental Information,Embedded Options Available,No
Memory Specifications,Max Memory Size (dependent on memory type),1 TB
Memory Specifications,Memory Types,DDR4-2400
Memory Specifications,Maximum Memory Speed,2400 MHz
Memory Specifications,Max # of Memory Channels,6
Memory Specifications,Intel® Optane™ Persistent Memory Supported,No
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Scalability,2S
Expansion Options,PCI Express Revision,3.0
Expansion Options,Max # of PCI Express Lanes,48
Package Specifications,Sockets Supported,FCLGA3647
Package Specifications,TCASE,78°C
Package Specifications,Package Size,76.0mm x 56.5mm
Advanced Technologies,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Advanced Technologies,Intel® Speed Select Technology - Performance Profile,No
Advanced Technologies,Intel® Speed Select Technology - Base Frequency,No
Advanced Technologies,Intel® Resource Director Technology (Intel® RDT),Yes
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Max Technology 3.0‡,No
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.2, Intel® AVX, Intel® AVX2, Intel® AVX-512"
Advanced Technologies,# of AVX-512 FMA Units,1
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Advanced Technologies,Intel® Volume Management Device (VMD),Yes
Security & Reliability,Intel vPro® Eligibility‡,Intel vPro® Platform
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® Run Sure Technology,No
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
