Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz) FC-LGA16A, Tray",Ordering Code,CD8068904656601
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz) FC-LGA16A, Tray",Spec Code,SRKXH
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz) FC-LGA16A, Tray",Stepping,M1
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz) FC-LGA16A, Tray",MDDS Content IDs,707378
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz) FC-LGA16A, Tray",PCN Content IDs,"798714,808308,842194"
"Intel® Xeon® Silver 4316 Processor (30M Cache, 2.30 GHz) FC-LGA16A, Tray",Recommended Customer Price,$1126.00
"Boxed Intel® Xeon® Silver 4316 Processor (30M Cache, up to 3.40 GHz) FC-LGA16A",Ordering Code,BX806894316
"Boxed Intel® Xeon® Silver 4316 Processor (30M Cache, up to 3.40 GHz) FC-LGA16A",Spec Code,SRKXH
"Boxed Intel® Xeon® Silver 4316 Processor (30M Cache, up to 3.40 GHz) FC-LGA16A",Shipping Media,BOX
"Boxed Intel® Xeon® Silver 4316 Processor (30M Cache, up to 3.40 GHz) FC-LGA16A",Stepping,M1
"Boxed Intel® Xeon® Silver 4316 Processor (30M Cache, up to 3.40 GHz) FC-LGA16A",MDDS Content IDs,707344
"Boxed Intel® Xeon® Silver 4316 Processor (30M Cache, up to 3.40 GHz) FC-LGA16A",PCN Content IDs,"798714,798811,808308,815134,842179,853587"
"Boxed Intel® Xeon® Silver 4316 Processor (30M Cache, up to 3.40 GHz) FC-LGA16A",Recommended Customer Price,$1137.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G178966
Trade Compliance Information,US HTS,8542310050
