Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305120002
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A, Tray",Spec Code,SRMGE
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A, Tray",Stepping,S3
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A, Tray",MDDS Content IDs,798714
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A, Tray",PCN Content IDs,798714
"Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A, Tray",Recommended Customer Price,$563.00
"Boxed Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A",Ordering Code,BX807134410Y
"Boxed Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A",Spec Code,SRMGE
"Boxed Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A",Shipping Media,BOX
"Boxed Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A",Stepping,S3
"Boxed Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A",MDDS Content IDs,848606
"Boxed Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A",PCN Content IDs,"798811,815134,853587"
"Boxed Intel® Xeon® Silver 4410Y Processor (30M Cache, 2.00 GHz) FC-LGA16A",Recommended Customer Price,$573.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
