Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A, Tray",Ordering Code,CM8070804497812
"Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A, Tray",Spec Code,SRKP9
"Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A, Tray",Shipping Media,TRAY
"Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A, Tray",Stepping,B0
"Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A, Tray",MDDS Content IDs,706837
"Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A, Tray",PCN Content IDs,"798714,805416"
"Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A, Tray",Recommended Customer Price,$342.00
Retired and discontinued,,
"Boxed Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A",Ordering Code,BX80708W1350P
"Boxed Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A",Spec Code,SRKP9
"Boxed Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A",Shipping Media,BOX
"Boxed Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A",Stepping,B0
"Boxed Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A",MDDS Content IDs,706592
"Boxed Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A",PCN Content IDs,"804577,798714,815134,798811,805416"
"Boxed Intel® Xeon® W-1350P Processor (12M Cache, up to 5.10 GHz) FC-LGA14A",Recommended Customer Price,$352.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G167599
Trade Compliance Information,US HTS,8542310050
