Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B, Tray",Ordering Code,CD8067303533002
"Intel® Xeon® W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B, Tray",Spec Code,SR3LJ
"Intel® Xeon® W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B, Tray",Stepping,U0
"Intel® Xeon® W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B, Tray",MDDS Content IDs,708279
"Intel® Xeon® W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B, Tray",PCN Content IDs,"799685,800106,812098,801613,813833"
"Intel® Xeon® W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B, Tray",Recommended Customer Price,$294.00
Retired and discontinued,,
"Boxed Intel® Xeon™ W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B",Ordering Code,BX80673W2123
"Boxed Intel® Xeon™ W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B",Spec Code,SR3LJ
"Boxed Intel® Xeon™ W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B",Shipping Media,BOX
"Boxed Intel® Xeon™ W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B",Stepping,U0
"Boxed Intel® Xeon™ W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B",MDDS Content IDs,706864
"Boxed Intel® Xeon™ W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B",PCN Content IDs,"800106,797610,801613,798513"
"Boxed Intel® Xeon™ W-2123 Processor (8.25M Cache, 3.60 GHz) FC-LGA14B",Recommended Customer Price,$294.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
