Section,Key,Value
Retired and discontinued,,
"Boxed Intel® Xeon® W-3175X Processor (38.5M Cache, 3.10 GHz) FC-LGA14B",Ordering Code,BX80673W3175X
"Boxed Intel® Xeon® W-3175X Processor (38.5M Cache, 3.10 GHz) FC-LGA14B",Spec Code,SRF6L
"Boxed Intel® Xeon® W-3175X Processor (38.5M Cache, 3.10 GHz) FC-LGA14B",Shipping Media,BOX
"Boxed Intel® Xeon® W-3175X Processor (38.5M Cache, 3.10 GHz) FC-LGA14B",Stepping,H0
"Boxed Intel® Xeon® W-3175X Processor (38.5M Cache, 3.10 GHz) FC-LGA14B",MDDS Content IDs,706522
"Boxed Intel® Xeon® W-3175X Processor (38.5M Cache, 3.10 GHz) FC-LGA14B",PCN Content IDs,"798513,798714,811197"
"Boxed Intel® Xeon® W-3175X Processor (38.5M Cache, 3.10 GHz) FC-LGA14B",Recommended Customer Price,$2999.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
