Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® W-3245M Processor (22M Cache, 3.20 GHz) FC-LGA14B, Tray",Ordering Code,CD8069504248501
"Intel® Xeon® W-3245M Processor (22M Cache, 3.20 GHz) FC-LGA14B, Tray",Spec Code,SRFFH
"Intel® Xeon® W-3245M Processor (22M Cache, 3.20 GHz) FC-LGA14B, Tray",Shipping Media,TRAY
"Intel® Xeon® W-3245M Processor (22M Cache, 3.20 GHz) FC-LGA14B, Tray",Stepping,B1
"Intel® Xeon® W-3245M Processor (22M Cache, 3.20 GHz) FC-LGA14B, Tray",MDDS Content IDs,709174
"Intel® Xeon® W-3245M Processor (22M Cache, 3.20 GHz) FC-LGA14B, Tray",PCN Content IDs,"798714,815084,800106,809472"
"Intel® Xeon® W-3245M Processor (22M Cache, 3.20 GHz) FC-LGA14B, Tray",Recommended Customer Price,$5502.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G077159
Trade Compliance Information,US HTS,8542310050
