Section,Key,Value
Essentials,Product Collection,Intel® Xeon® W Processor
Essentials,Code Name,Products formerly Sapphire Rapids
Essentials,Vertical Segment,Workstation
Essentials,Processor Number,w3-2525
Essentials,Lithography,Intel 7
Essentials,Recommended Customer Price,$609.00
CPU Specifications,Total Cores,8
CPU Specifications,# of Performance-cores,8
CPU Specifications,# of Efficient-cores,0
CPU Specifications,Total Threads,16
CPU Specifications,Max Turbo Frequency,4.5 GHz
CPU Specifications,Intel® Turbo Boost Max Technology 3.0 Frequency‡,4.5 GHz
CPU Specifications,Intel® Turbo Boost Technology 2.0 Frequency‡,4.3 GHz
CPU Specifications,Processor Base Frequency,3.5 GHz
CPU Specifications,Cache,22.5 MB Intel® Smart Cache
CPU Specifications,Intel® UPI Speed,0 GT/s
CPU Specifications,Max # of UPI Links,0
CPU Specifications,Processor Base Power,175 W
CPU Specifications,Maximum Turbo Power,210 W
CPU Specifications,Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes
Supplemental Information,Marketing Status,Launched
Supplemental Information,Launch Date,Q3'24
Supplemental Information,Embedded Options Available,No
Supplemental Information,Use Conditions,Workstation
Memory Specifications,Max Memory Size (dependent on memory type),2 TB
Memory Specifications,Memory Types,DDR5-4400 (MT/s)
Memory Specifications,Maximum Memory Speed,4400 MT/s
Memory Specifications,Max # of Memory Channels,4
Memory Specifications,Intel® Optane™ Persistent Memory Supported,No
Memory Specifications,ECC Memory Supported‡,Yes
Expansion Options,Direct Media Interface (DMI) Revision,4.0
Expansion Options,Scalability,1S Only
Expansion Options,PCI Express Revision,5.0
Expansion Options,Max # of PCI Express Lanes,64
Package Specifications,Sockets Supported,FCLGA4677
Package Specifications,Package Carrier,E1B
Package Specifications,Max CPU Configuration,1
Package Specifications,DTS Max,100 °C
Package Specifications,TCASE,72 °C
Package Specifications,Package Size,77.5mm x 56.5mm
Advanced Technologies,Intel® QuickAssist Technology (QAT),0 default devices
Advanced Technologies,Intel® Dynamic Load Balancer (DLB),0 default devices
Advanced Technologies,Intel® Data Streaming Accelerator (DSA),1 default devices
Advanced Technologies,Intel® In-memory Analytics Accelerator (IAA),0 default devices
Advanced Technologies,Intel® Advanced Matrix Extensions (AMX),Yes
Advanced Technologies,Intel® Speed Shift Technology,Yes
Advanced Technologies,Intel® Turbo Boost Max Technology 3.0‡,Yes
Advanced Technologies,Intel® Turbo Boost Technology‡,2.0
Advanced Technologies,Intel® Hyper-Threading Technology‡,Yes
Advanced Technologies,Intel® Transactional Synchronization Extensions,Yes
Advanced Technologies,Intel® 64‡,Yes
Advanced Technologies,Instruction Set,64-bit
Advanced Technologies,Instruction Set Extensions,"Intel® SSE4.1, Intel® AMX, Intel® SSE4.2, Intel® AVX2, Intel® AVX-512"
Advanced Technologies,# of AVX-512 FMA Units,2
Advanced Technologies,Enhanced Intel SpeedStep® Technology,Yes
Security & Reliability,Intel vPro® Eligibility‡,Intel vPro® Enterprise
Security & Reliability,Intel® Threat Detection Technology (TDT),No
Security & Reliability,Intel® Active Management Technology (AMT)‡,Yes
Security & Reliability,Intel® Remote Platform Erase (RPE)‡,No
Security & Reliability,Intel® One-Click Recovery‡,No
Security & Reliability,Intel® QuickAssist Software Acceleration,No
Security & Reliability,Intel® Control-Flow Enforcement Technology,Yes
Security & Reliability,Intel® Total Memory Encryption - Multi Key,No
Security & Reliability,Intel® Total Memory Encryption,Yes
Security & Reliability,Intel® AES New Instructions,Yes
Security & Reliability,Intel® Software Guard Extensions (Intel® SGX),No
Security & Reliability,Intel® Trusted Execution Technology‡,Yes
Security & Reliability,Execute Disable Bit‡,Yes
Security & Reliability,Intel® OS Guard,Yes
Security & Reliability,Intel® Boot Guard,Yes
Security & Reliability,Mode-based Execute Control (MBEC),Yes
Security & Reliability,Intel® Platform Firmware Resilience Support,Yes
Security & Reliability,Intel® Virtualization Technology with Redirect Protection (VT-rp)‡,Yes
Security & Reliability,Intel® Virtualization Technology (VT-x)‡,Yes
Security & Reliability,Intel® Virtualization Technology for Directed I/O (VT-d)‡,Yes
Security & Reliability,Intel® VT-x with Extended Page Tables (EPT)‡,Yes
