Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® w5-2545 Processor (30M Cache, 3.50 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305502200
"Intel® Xeon® w5-2545 Processor (30M Cache, 3.50 GHz) FC-LGA16A, Tray",Spec Code,SRN4G
"Intel® Xeon® w5-2545 Processor (30M Cache, 3.50 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® w5-2545 Processor (30M Cache, 3.50 GHz) FC-LGA16A, Tray",Stepping,S3
"Intel® Xeon® w5-2545 Processor (30M Cache, 3.50 GHz) FC-LGA16A, Tray",MDDS Content IDs,766314
"Intel® Xeon® w5-2545 Processor (30M Cache, 3.50 GHz) FC-LGA16A, Tray",Recommended Customer Price,$889.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
