Section,Key,Value
Ordering and Spec Information,,
"Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A, Tray",Ordering Code,PK8071305501300
"Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A, Tray",Spec Code,SRN73
"Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A, Tray",Shipping Media,TRAY
"Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A, Tray",Stepping,E5
"Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A, Tray",MDDS Content IDs,844411
"Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A, Tray",PCN Content IDs,"833725,842096"
"Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A, Tray",Recommended Customer Price,$2689.00
"Boxed Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A",Ordering Code,BXC807133565X
"Boxed Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A",Spec Code,SRN73
"Boxed Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A",Shipping Media,BOX
"Boxed Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A",Stepping,E5
"Boxed Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A",MDDS Content IDs,860244
"Boxed Intel® Xeon® w7-3565X Processor (82.5M Cache, 2.50 GHz) FC-LGA16A",PCN Content IDs,853587
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G180729
Trade Compliance Information,US HTS,8542310050
