Section,Key,Value
Ordering and Spec Information,,
Intel® GL82Z270 Platform Controller Hub,Ordering Code,GL82Z270
Intel® GL82Z270 Platform Controller Hub,Spec Code,SR2WB
Intel® GL82Z270 Platform Controller Hub,Shipping Media,T&R
Intel® GL82Z270 Platform Controller Hub,Stepping,A0
Intel® GL82Z270 Platform Controller Hub,MDDS Content IDs,708546
Intel® GL82Z270 Platform Controller Hub,PCN Content IDs,"809472,795943,813834,803725"
Intel® GL82Z270 Platform Controller Hub,Recommended Customer Price,$47.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310030
