Section,Key,Value
Ordering and Spec Information,,
Intel® GL82HM175 Platform Controller Hub,Ordering Code,GL82HM175
Intel® GL82HM175 Platform Controller Hub,Spec Code,SR30W
Intel® GL82HM175 Platform Controller Hub,Shipping Media,T&R
Intel® GL82HM175 Platform Controller Hub,Stepping,D1
Intel® GL82HM175 Platform Controller Hub,MDDS Content IDs,708174
Intel® GL82HM175 Platform Controller Hub,PCN Content IDs,"795943,807359,804715,809472,806826"
Intel® GL82HM175 Platform Controller Hub,Recommended Customer Price,$48.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310030
