Section,Key,Value
Ordering and Spec Information,,
Intel® GL82QM175 Platform Controller Hub,Ordering Code,GL82QM175
Intel® GL82QM175 Platform Controller Hub,Spec Code,SR30V
Intel® GL82QM175 Platform Controller Hub,Shipping Media,T&R
Intel® GL82QM175 Platform Controller Hub,Stepping,D1
Intel® GL82QM175 Platform Controller Hub,MDDS Content IDs,708174
Intel® GL82QM175 Platform Controller Hub,PCN Content IDs,"804715,795943,806826,807359,809472"
Intel® GL82QM175 Platform Controller Hub,Recommended Customer Price,$48.00
Trade Compliance Information,ECCN,5A992.C
Trade Compliance Information,CCATS,G147881
Trade Compliance Information,US HTS,8542310030
