Section,Key,Value
Essentials,Product Collection,Security Module Option
Essentials,Code Name,Products formerly Juniper Pass
Essentials,Marketing Status,Discontinued
Essentials,Launch Date,Q4'19
Essentials,Expected Discontinuance,Q3'22
Essentials,EOL Announce,"Friday, July 1, 2022"
Essentials,Last Order,"Monday, October 31, 2022"
Essentials,Last Receipt Attributes,"Saturday, December 31, 2022"
Essentials,Included Items,Intel® Trusted Platform Module (TPM) 2.0
Supplemental Information,Description,TPM 2.0 Module for Intel® Server Board M10JNP Family for PRC region.
